"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"2655","ENSMUSG00000116408",30.1985808473781,6.62239866996623,2.13214939016094,3.10597310888538,0.00189653961996934,0.020122949301075,""
"2602","ENSMUSG00000092345",50.7090912624667,5.40703289086295,2.036937549107,2.654491245072,0.00794281006842232,0.0559002987070317,"Gm20503"
"2350","ENSMUSG00000060534",26.4906692749305,2.82099894914388,0.444377257611822,6.34820729644115,2.17838425688942e-10,8.43639814154228e-08,"Dcc"
"2326","ENSMUSG00000058806",275.174159002359,2.35059195732041,0.521306075396026,4.50904385784246,6.51204469941153e-06,0.000332754642451692,"Col13a1"
"760","ENSMUSG00000024512",152.16725640445,2.17525995129461,0.40603267754319,5.35735193644168,8.44505231105988e-08,1.07037199382543e-05,"Dynap"
"647","ENSMUSG00000022464",33.8024391199467,2.12089486471612,0.810540301029888,2.61664332053727,0.00887990770030331,0.0605101041826142,"Slc38a4"
"2209","ENSMUSG00000053101",152.676849298484,2.1170883284173,0.393618460186201,5.37852906445448,7.50968602336953e-08,1.02647100527273e-05,"Gpr141"
"453","ENSMUSG00000020607",72.3507124576496,2.06049380459848,0.478852157369683,4.30298532205994,1.68512017907602e-05,0.000665249326339531,"Lratd1"
"1268","ENSMUSG00000030351",125.636269883448,2.00051231019671,0.717345625525024,2.78877048805105,0.00529085450630813,0.0420391499449294,"Tspan11"
"45","ENSMUSG00000001508",95.8322193287961,1.92589642390215,0.529136110651074,3.63969947455002,0.000272956420166352,0.00489146325187567,"Sgca"
"244","ENSMUSG00000011118",1997.10192655853,1.91017261978957,0.446691322195625,4.27626981961612,1.90050863655451e-05,0.000721986141984821,"Panx3"
"475","ENSMUSG00000020805",1726.63430223127,1.89928190603275,0.58506614740199,3.2462686731519,0.00116928431716641,0.0142750980297146,"Slc13a5"
"1011","ENSMUSG00000027485",59.0951515387848,1.8829802942741,0.359249725220682,5.24142445235667,1.5934171382984e-07,1.749245806469e-05,"Bpifb1"
"687","ENSMUSG00000022861",18.6410533035005,1.88260258327613,0.59347097486861,3.17218981719018,0.0015129408346386,0.0170383046175536,"Dgkg"
"308","ENSMUSG00000017639",299.674798803895,1.81670706683805,0.49816792985357,3.6467764341475,0.000265550775353362,0.00479573693002147,"Rab11fip4"
"2225","ENSMUSG00000053863",5429.60110701808,1.79319685586509,0.424749613017181,4.2217739602568,2.42387118123138e-05,0.000873219948545942,"Mepe"
"636","ENSMUSG00000022362",13.0777352641224,1.79067855934328,0.500943560408592,3.5746113951095,0.000350748458244764,0.00587487792280087,"Gm29394"
"556","ENSMUSG00000021613",320.277779873872,1.79062354108236,0.654510107938062,2.73582259367004,0.00622245624015012,0.0474062759017339,"Hapln1"
"1137","ENSMUSG00000028838",87.9333866474318,1.78849073894431,0.470757471559885,3.79917653355141,0.000145177657857035,0.00313808822611284,"Extl1"
"974","ENSMUSG00000027015",647.452928466869,1.77442699733227,0.439543278861193,4.03697902497704,5.41439075937821e-05,0.00155323942319447,"Cybrd1"
"2555","ENSMUSG00000079055",1024.32078442414,1.73441194237134,0.416285055586161,4.16640453241627,3.09441391840718e-05,0.00104046566508431,"Slc8a3"
"2547","ENSMUSG00000078636",94.8303655412148,1.69160966036313,0.655031213396639,2.58248710254791,0.00980910285094966,0.064722438214832,"Gm7336"
"959","ENSMUSG00000026841",14.8369438071673,1.68851266207419,0.629938036536317,2.6804424628149,0.00735249031510544,0.0531682676209544,"Fibcd1"
"1902","ENSMUSG00000041608",392.472190322646,1.67864760334513,0.6424298916063,2.61296621666829,0.00897601744150978,0.0610335613452906,"Entpd3"
"565","ENSMUSG00000021702",17882.1926491908,1.61570938137355,0.508973611573685,3.17444626721996,0.00150122683183449,0.0169337414963078,"Thbs4"
"1908","ENSMUSG00000041731",28.4903092755827,1.59575736042965,0.408507765407747,3.90630851003986,9.3716846176949e-05,0.00226840324548442,"Pgm5"
"2349","ENSMUSG00000060530",49.586787401642,1.59272819771219,0.59278437700781,2.68685926871383,0.00721273347552564,0.0526095128931686,"A930017M01Rik"
"518","ENSMUSG00000021209",27.8391049055849,1.58862564763369,0.50840670635689,3.12471418604479,0.00177977897699066,0.0192652783363384,"Ppp4r4"
"301","ENSMUSG00000017002",913.835889144796,1.5869197208625,0.295181360320412,5.37608377148182,7.61233848570573e-08,1.03040022492922e-05,"Slpi"
"1716","ENSMUSG00000038011",17.7978211683845,1.56295270402188,0.645314753130487,2.42200057636965,0.0154353260620166,0.0873373847226607,"Dnah10"
"980","ENSMUSG00000027107",41.4250478224462,1.56138964482551,0.381841132808679,4.08910803647714,4.33035142044717e-05,0.00130962601960682,"Chrna1"
"250","ENSMUSG00000012350",24.7199521676136,1.55657413901174,0.579994459450726,2.68377415274943,0.00727962636779667,0.0528607035519902,"Ehf"
"2010","ENSMUSG00000044678",33.619613984847,1.55340206970162,0.33482767106359,4.63940768326343,3.49409172853121e-06,0.000205546948857309,"Ly6k"
"2647","ENSMUSG00000111409",14.8867096670666,1.54327670598554,0.539042818339361,2.86299465177913,0.00419657646808552,0.0356542773418942,"Gm49380"
"1284","ENSMUSG00000030606",70.3146212264782,1.53544986847356,0.509529039474612,3.0134688104466,0.00258279588202372,0.0250761421916258,"Hapln3"
"2553","ENSMUSG00000079022",1158.79194103015,1.53141671831366,0.553839064543542,2.76509335717554,0.00569065068877238,0.0443234926831645,"Col22a1"
"1438","ENSMUSG00000032373",2718.79848261313,1.53004562737137,0.500022069424536,3.05995619179823,0.00221369369084749,0.0225115371537533,"Car12"
