"","ensembl_gene_id","mgi_symbol"
"147","ENSMUSG00000038375","Trp53inp2"
"148","ENSMUSG00000038677","Scube3"
"149","ENSMUSG00000039004","Bmp6"
"150","ENSMUSG00000039153","Runx2"
"151","ENSMUSG00000039286","Fndc3b"
"152","ENSMUSG00000039942","Ptger4"
"153","ENSMUSG00000040274","Cdk6"
"154","ENSMUSG00000040289","Hey1"
"155","ENSMUSG00000040297","Suco"
"156","ENSMUSG00000040711","Sh3pxd2b"
"157","ENSMUSG00000040856","Dlk1"
"158","ENSMUSG00000040998","Npnt"
"159","ENSMUSG00000042406","Atf4"
"160","ENSMUSG00000042745","Id1"
"161","ENSMUSG00000043252","Tmem64"
"162","ENSMUSG00000044674","Fzd1"
"163","ENSMUSG00000048402","Gli2"
"164","ENSMUSG00000048424","Ranbp3l"
"165","ENSMUSG00000048583","Igf2"
"166","ENSMUSG00000048616","Nog"
"167","ENSMUSG00000048772","Tmem53"
"168","ENSMUSG00000048776","Pthlh"
"169","ENSMUSG00000050199","Lgr4"
"170","ENSMUSG00000050953","Gja1"
"171","ENSMUSG00000051159","Cited1"
"172","ENSMUSG00000051920","Rspo2"
"173","ENSMUSG00000052155","Acvr2a"
"174","ENSMUSG00000052276","Ostn"
"175","ENSMUSG00000052430","Bmpr1b"
"176","ENSMUSG00000052837","Junb"
"177","ENSMUSG00000053110","Yap1"
"178","ENSMUSG00000053137","Mapk11"
"179","ENSMUSG00000053436","Mapk14"
"180","ENSMUSG00000053475","Tnfaip6"
"181","ENSMUSG00000054196","Cthrc1"
"182","ENSMUSG00000054200","Ffar4"
"183","ENSMUSG00000054675","Tmem119"
"184","ENSMUSG00000055409","Nell1"
"185","ENSMUSG00000056014","A430033K04Rik"
"186","ENSMUSG00000056501","Cebpb"
"187","ENSMUSG00000060284","Sp7"
"188","ENSMUSG00000060743","H3f3a"
"189","ENSMUSG00000061393","Acvr2b"
"190","ENSMUSG00000063632","Sox11"
"191","ENSMUSG00000066613","Zfp932"
"192","ENSMUSG00000067336","Bmpr2"
"193","ENSMUSG00000067567","Hdac8"
"194","ENSMUSG00000071076","Jund"
"195","ENSMUSG00000072625","Gdf2"
"196","ENSMUSG00000073489","Ifi204"
"197","ENSMUSG00000074483","Bglap"
"198","ENSMUSG00000074486","Bglap2"
"199","ENSMUSG00000074489","Bglap3"
"200","ENSMUSG00000074637","Sox2"
"201","ENSMUSG00000074934","Grem1"
