Sample ID,Genotype
705-1_S1,Mut
705-2_S12,Mut
709-1_S2,WT
709-2_S13,WT
719-1_S3,Mut
719-2_S14,Mut
720-1_S4,Mut
720-2_S15,Mut
721-1_S5,WT
721-2_S16,WT
722-1_S6,WT
722-2_S17,WT
728-1_S7,WT
728-2_S18,WT
729-1_S8,Mut
729-2_S19,Mut
739-1_S9,Mut
739-2_S20,Mut
740-1_S10,WT
740-2_S21,WT
748-1_S11,Mut
748-2_S22,Mut
