"","mgi_symbol","LqLc","CqLc","CqCc","LqCc"
"152","Inhbb",0.460186061650179,NA,NA,NA
"153","Inpp5a",0.217191895370619,NA,NA,NA
"154","Insc",0.509354925482927,NA,NA,0.485347149919522
"155","Iqce",NA,NA,NA,0.283258776414836
"156","Irx2",-1.29179718682152,-1.36919400823933,-1.28272383621615,-1.41724340084966
"157","Isyna1",NA,NA,-0.308464905443083,NA
"158","Itga1",NA,-0.183636659181858,NA,NA
"159","Kansl3",NA,NA,NA,0.206098476671249
"160","Kcnk2",NA,NA,0.882050248652155,0.893630502324328
"161","Klhl5",NA,1.31351111495752,NA,NA
"162","Kmt2a",0.269051782979888,NA,NA,NA
"163","Krba1",NA,NA,NA,0.447739856640486
"164","Krt10",NA,NA,-0.698535829816894,NA
"165","Lancl3",-0.822228223691094,NA,NA,NA
"166","Lclat1",0.251505719870404,NA,NA,NA
"167","Leng8",0.404819972046408,NA,NA,0.474571224512833
"168","Lif",NA,0.468926646012719,0.532393379071878,NA
"169","Lingo1",NA,NA,NA,1.05576497786971
"170","Lins1",0.336889352574074,NA,NA,NA
"171","Lpcat4",0.380950722253204,0.437558384793046,0.398917765265434,0.400935657585398
"172","Lrfn4",0.353425205304698,NA,0.30856480908941,0.347943017772037
"173","Lrig2",NA,NA,0.327604805406344,NA
"174","Lrp4",0.466823386013926,NA,0.468574110973649,NA
"175","Lrrc17",-0.282913944316775,-0.571806452241708,NA,-0.306037092236539
"176","Lrrc42",NA,NA,0.198752695334585,NA
"177","Ltbp4",-0.63041486959097,-0.60745916299484,-0.602436234798127,-0.614379771563034
"178","Ly6a",-0.805435432213798,-0.795716732508035,-0.830838172534543,-0.85562204415559
"179","Ly6c1",-0.835075264545653,-0.879353194843817,-0.85466930754989,-0.855701078210977
"180","Lyrm9",-0.623065396040358,-0.671000470842493,NA,NA
"181","Macf1",NA,0.164785136975177,0.151824662370925,0.173633550828405
"182","Mapk13",-0.885594854610868,NA,NA,-0.92321590170018
